product_id,product_name,category,fit,neckline,pattern,sleeve_style,length,occasion,style_aesthetic,trend,price,base_return_rate
PROD_00001,AW24 Core Slim Abstract Dresse,Dresses,Slim,V-Neck,Abstract,Balloon,Above Knee,Smart Casual,Contemporary,AW24 Core,87.58,0.6993635520277443
PROD_00002,AW24 Trend Fitted Animal Print Dresse,Dresses,Fitted,V-Neck,Animal Print,Puff,Mini,Casual,Classic,AW24 Trend,80.46,0.8554547393202181
PROD_00003,Clearance Regular Animal Print Dresse,Dresses,Regular,Square,Animal Print,Standard,Maxi,Smart Casual,Sporty,Clearance,67.01,0.7269649684812173
PROD_00004,Continuity Oversized Check Dresse,Dresses,Oversized,Round,Check,Bell,Knee,Casual,Contemporary,Continuity,107.56,0.5976798437208631
PROD_00005,Continuity Relaxed Floral Dresse,Dresses,Relaxed,Crew,Floral,Sleeveless,Knee,Casual,Classic,Continuity,85.28,0.4481817652837339
PROD_00006,Continuity Slim Polka Dot Dresse,Dresses,Slim,Crew,Polka Dot,Balloon,Maxi,Work,Classic,Continuity,100.03,0.6165499774663654
PROD_00007,Clearance Fitted Check Dresse,Dresses,Fitted,V-Neck,Check,Standard,Maxi,Work,Sporty,Clearance,96.23,0.7435347768061656
PROD_00008,AW24 Trend Relaxed Floral Dresse,Dresses,Relaxed,Square,Floral,Cap,Mini,Casual,Sporty,AW24 Trend,73.61,0.6296486966956213
PROD_00009,Continuity Relaxed Polka Dot Dresse,Dresses,Relaxed,V-Neck,Polka Dot,Sleeveless,Mini,Evening,Boho,Continuity,79.5,0.49414973255099065
PROD_00010,AW24 Core Relaxed Stripe Dresse,Dresses,Relaxed,Round,Stripe,Balloon,Above Knee,Loungewear,Boho,AW24 Core,108.11,0.5559744661333675
PROD_00011,Continuity Fitted Floral Dresse,Dresses,Fitted,High,Floral,Bell,Above Knee,Smart Casual,Minimalist,Continuity,85.55,0.6766927447458682
PROD_00012,AW24 Core Relaxed Abstract Dresse,Dresses,Relaxed,High,Abstract,Bell,Above Knee,Loungewear,Boho,AW24 Core,100.71,0.6553120114394139
PROD_00013,AW24 Core Regular Plain Dresse,Dresses,Regular,Off-Shoulder,Plain,Long,Knee,Evening,Boho,AW24 Core,90.47,0.613016520286255
PROD_00014,Continuity Regular Abstract Dresse,Dresses,Regular,Square,Abstract,Balloon,Above Knee,Loungewear,Minimalist,Continuity,65.12,0.5758904274793141
PROD_00015,Clearance Oversized Stripe Dresse,Dresses,Oversized,Round,Stripe,Sleeveless,Above Knee,Loungewear,Romantic,Clearance,68.78,0.6426084851483852
PROD_00016,AW24 Trend Relaxed Animal Print Dresse,Dresses,Relaxed,High,Animal Print,Puff,Maxi,Evening,Boho,AW24 Trend,90.73,0.700277512827197
PROD_00017,AW24 Trend Regular Check Dresse,Dresses,Regular,Square,Check,Standard,Mini,Casual,Contemporary,AW24 Trend,94.37,0.6864416587779749
PROD_00018,Clearance Oversized Plain Dresse,Dresses,Oversized,Square,Plain,Puff,Midi,Holiday,Minimalist,Clearance,82.58,0.6166255330349701
PROD_00019,SS25 Preview Relaxed Polka Dot Dresse,Dresses,Relaxed,Square,Polka Dot,Standard,Mini,Loungewear,Romantic,SS25 Preview,114.09,0.6817194227116967
PROD_00020,SS25 Preview Relaxed Stripe Dresse,Dresses,Relaxed,V-Neck,Stripe,Puff,Above Knee,Evening,Classic,SS25 Preview,111.57,0.6627631137699689
PROD_00021,Clearance Fitted Floral Dresse,Dresses,Fitted,Off-Shoulder,Floral,Bell,Mini,Loungewear,Boho,Clearance,93.9,0.8562212058314178
PROD_00022,AW24 Core Fitted Floral Dresse,Dresses,Fitted,Round,Floral,Balloon,Above Knee,Holiday,Romantic,AW24 Core,97.9,0.6592023369136345
PROD_00023,AW24 Trend Fitted Check Dresse,Dresses,Fitted,Crew,Check,Standard,Mini,Work,Boho,AW24 Trend,94.47,0.7523379565959908
PROD_00024,AW24 Core Slim Animal Print Dresse,Dresses,Slim,Round,Animal Print,Standard,Mini,Loungewear,Minimalist,AW24 Core,90.53,0.6989785867988241
PROD_00025,SS25 Preview Fitted Floral Dresse,Dresses,Fitted,Off-Shoulder,Floral,Sleeveless,Midi,Holiday,Contemporary,SS25 Preview,90.03,0.8434442527118104
PROD_00026,AW24 Trend Fitted Animal Print Dresse,Dresses,Fitted,Off-Shoulder,Animal Print,Puff,Above Knee,Holiday,Sporty,AW24 Trend,105.3,0.839755590567848
PROD_00027,Continuity Relaxed Abstract Dresse,Dresses,Relaxed,Boat,Abstract,Cap,Knee,Evening,Romantic,Continuity,66.84,0.5085776954698709
PROD_00028,Clearance Slim Floral Dresse,Dresses,Slim,Round,Floral,Standard,Knee,Casual,Romantic,Clearance,97.45,0.6236246026357157
PROD_00029,AW24 Core Regular Floral Dresse,Dresses,Regular,Square,Floral,Standard,Mini,Loungewear,Sporty,AW24 Core,77.08,0.6137716824933542
PROD_00030,AW24 Trend Regular Plain Dresse,Dresses,Regular,V-Neck,Plain,Long,Knee,Casual,Romantic,AW24 Trend,80.83,0.5458171183890441
PROD_00031,Clearance Relaxed Check Dresse,Dresses,Relaxed,High,Check,Sleeveless,Maxi,Smart Casual,Sporty,Clearance,111.57,0.6932867690126634
PROD_00032,AW24 Core Fitted Floral Dresse,Dresses,Fitted,Boat,Floral,Long,Midi,Evening,Contemporary,AW24 Core,79.81,0.7002371819972096
PROD_00033,AW24 Core Slim Check Dresse,Dresses,Slim,High,Check,Balloon,Midi,Evening,Minimalist,AW24 Core,64.26,0.743713241395664
PROD_00034,AW24 Trend Slim Check Dresse,Dresses,Slim,V-Neck,Check,Cap,Knee,Casual,Contemporary,AW24 Trend,80.26,0.6974769006043652
PROD_00035,Continuity Regular Check Dresse,Dresses,Regular,Square,Check,Sleeveless,Midi,Smart Casual,Boho,Continuity,62.94,0.6220535885102555
PROD_00036,Clearance Regular Plain Dresse,Dresses,Regular,Off-Shoulder,Plain,Puff,Maxi,Casual,Classic,Clearance,101.85,0.6952814875718348
PROD_00037,Continuity Slim Polka Dot Dresse,Dresses,Slim,V-Neck,Polka Dot,Long,Above Knee,Smart Casual,Minimalist,Continuity,66.86,0.578501798752404
PROD_00038,AW24 Core Oversized Polka Dot Dresse,Dresses,Oversized,Round,Polka Dot,Puff,Mini,Smart Casual,Minimalist,AW24 Core,89.96,0.6972461390027903
PROD_00039,Clearance Oversized Polka Dot Dresse,Dresses,Oversized,Crew,Polka Dot,Long,Midi,Work,Minimalist,Clearance,74.93,0.6214186244319012
PROD_00040,Clearance Oversized Floral Dresse,Dresses,Oversized,Round,Floral,Balloon,Above Knee,Casual,Romantic,Clearance,85.22,0.6583498085106805
PROD_00041,Clearance Slim Stripe Dresse,Dresses,Slim,High,Stripe,Standard,Mini,Holiday,Minimalist,Clearance,67.97,0.6474895842001984
PROD_00042,Clearance Fitted Plain Dresse,Dresses,Fitted,Round,Plain,Bell,Mini,Smart Casual,Classic,Clearance,75.11,0.7137472519618775
PROD_00043,AW24 Trend Slim Polka Dot Dresse,Dresses,Slim,High,Polka Dot,Sleeveless,Midi,Casual,Romantic,AW24 Trend,89.26,0.6994958271498631
PROD_00044,Clearance Fitted Plain Dresse,Dresses,Fitted,Square,Plain,Bell,Mini,Evening,Sporty,Clearance,65.61,0.7468747131362514
PROD_00045,SS25 Preview Fitted Stripe Dresse,Dresses,Fitted,Square,Stripe,Balloon,Above Knee,Loungewear,Sporty,SS25 Preview,68.67,0.7976807919638256
PROD_00046,AW24 Core Regular Check Dresse,Dresses,Regular,Crew,Check,Sleeveless,Knee,Evening,Boho,AW24 Core,65.12,0.5136461050825619
PROD_00047,AW24 Trend Slim Animal Print Dresse,Dresses,Slim,Boat,Animal Print,Bell,Mini,Casual,Romantic,AW24 Trend,68.6,0.8634164108208442
